"HolderAddress","Balance","PendingBalanceUpdate"
"0x2f7daf9b66a7bee6f9e046973e2e3d01d810207c","215,778.263541201804","No"
"0x2c90a1a51398a0c69a73968b27cdeddec9d0d971","76,701.03811174807","No"
"0x650dfad81e90c94116d297376be6f8e10f3f49a7","38,829.03844747995","No"
"0x00f18ccb682d2b6b935a3bbd3f1d237d263e05c0","35,888.389125247496","No"
"0xe95f449edb1c810dcb7d51b66b467c9675268e5d","27,007.963493222673","No"
"0xb1f056afe11c709292cb5bfbf4a9ba6bdb751860","25,608.544569711241","No"
"0xf2c1b1e95550b883842b768d1efbfc49d04f5db8","25,167.448959155741","No"
"0xaeb188fc28cee06341f54cea3234ff77b33b86e3","25,135.240265604825","No"
"0xb3d3750a2acd1a157d49bc602ed086c28e26a15e","22,286.03905029113","No"
"0xb82ed2d0dfcd3ad43b3cbfab1f5e9c316f283f9c","19,780.627932045888","No"
"0x7457667ee63bca3c134f246af687091e7e259bc2","17,887.083667527504","No"
"0xd3916dcd64ba72fc86e0374c526f1f4b13d4af73","11,884.184565473878","No"
"0x8ead7d2e8e9facb64f06e56b57ac3db4a39d6152","9,991.235857417065","No"
"0x7a199df5071cb2903d42e2d5e5063fa85f524ed6","9,452.999733304135","No"
"0x9d8088baecfb4d02020c0296d51ddbc69a9144fa","9,000.679769115192","No"
"0x7881debaa515618851bfb128173c8d59f92fb35c","6,695.591362315989","No"
"0xb3bd1e43490dc39c9c1a3bb8f20bb9568a0ad131","6,676.445205637672","No"
"0xf15de4c9d436de9ac40a1ed289aeedb0efb3382d","5,890.877845863591","No"
"0xe911b5e508d1c2899b0a08e3bbe5c4656b5e939e","5,269.775263617199","No"
"0x56f50f82ad2d482f09ac61af74eb694e6937fd70","5,071.665461387216","No"
"0x015359e5404fc97a5f2631986613fd85c88eaa41","5,028.465231791412","No"
"0x37c2b33a0430903f8ccc7c9dbbf9026987415369","4,883.996760406974","No"
"0xb7472beae45bb0c3c514005b99c0c111e556af1c","4,797.822960801474","No"
"0xdf9e356e3ff2862147cdded2aabd0d6eef06895e","4,647.572236520476","No"
"0x8dd096a65f960d71b05712d11d58a719d30c1d04","4,537.238393708011","No"
"0x8bc1f4cba6f416aef8f873b45fcfc3c049f28d32","3,949.843746637505","No"
"0x50277b4cd994c0bc1ce3105bf79d2a4557087ff8","3,317.282965469052","No"
"0xa2baa4d19f90375a48cdf8bcbc5ca9db1134cee5","3,073.883450617919","No"
"0x5c4a7ed0908ef825b4cb8e4a7206e47312f505b9","2,752.269752021392","No"
"0xcef24b7a9b549cd1298c572a810ba4098bd68e0c","2,584.975573723513","No"
"0xf04378bb468eed5870abec429efa6d45bea5c070","2,256.515250460484","No"
"0x2e77c112e0a345f084b073bacb6b9211ed8d9fd0","2,240.839884557596","No"
"0x3bac370e2a7c51c6b74212de14293d2fd13baaf2","1,980.173845425076","No"
"0x8e6987d009df1bf4ca10d15daca31fe9936fadd8","1,887.204774747246","No"
"0x7c843e8881a7dfb12f0645b4f6dad1cbde64fc44","1,857.831728462078","No"
"0x82849867f1a1aefad1b4f2fa5aa7bd12e462f549","1,849.716362799442","No"
"0x9117900a3794ad6d167dd97853f82a1aa07f9bbc","1,709.642522251164","No"
"0xce6f917084b2c9262d5b6042708f950db5c91b85","1,695.154391855695","No"
"0x5deb9ad0b1e3746bf76d116a5e993c66925ae4af","1,623.973522349432","No"
"0x89cf7fb9dc5e13cfd63c4ba23928ad4fc4503519","1,436.299425316079","No"
"0x9f92add1411f5def4d44dde48d315a82511efd06","1,370.985147289894","No"
"0x1ef91043d3cdb315a5c97a03b843e6095ba6ea02","1,281.286041795426","No"
"0xad8e728f70dc0e73ac16644090bdb17667c7b50c","1,198.518212001118","No"
"0x17097e61b1412ab67cf2cf784497161b5d5f7dcd","1,112.270047865696","No"
"0xc2e1512656f1c9e549dc7a57f6a8b1957afbda5b","1,004.840018367949","No"
"0x523559d588d40932310b60efe1fd2389e7f586e9","1,000","No"
"0x872f335f5a098c02ef01d69c132d0d81f0ce35fa","979.350704976098","No"
"0x4ebec1cbc755fc7e3f487ecb6041e1bab3bfcde1","964.884243657965","No"
"0x44fb3f95118bf09ba74e31dc8a125f2934c7b934","781.209061244108","No"
"0xd81e01640226ce0c762c1fc53cb7be5e3bb64d84","749.480652932745","No"
"0x90e5af4122fe7210193e7507d13f447257d59d4f","702.286961357654","No"
"0xcc2037ddfd84fa745c09f70f798da0ff786689ae","669.301390538299","No"
"0x01356095f1f83de211d2f5c0aad49ab30b745dac","646.036894672465","No"
"0xb2cb62bd2c24882a6cee95b83ac00eb828bc716b","640.92123948927","No"
"0x0e3109261940c95ef20fa759c9a7e3709a86b2f4","612.106867352113","No"
"0xc027b3fdf0e71463d7acdeaf7e6ed5cd566a5b9c","593.047652850582","No"
"0x6237d4a8a989e1dfc19247985bb768a751bbe804","585.940024795854","No"
"0xbcbbe0af190fb5610ddb7f3bb04b35c3549cd452","564.172467367892","No"
"0x60a30aa9c4e6d5417eaf8124730c8fd69e5a3e51","547.53130413948","No"
"0xdd3c0f408cad52ca1224cb52b97daea58b443fc1","515.781196015843","No"
"0xfb09da501a1939959daefa9dbdf196007a9befa4","498.674933781721","No"
"0xce1a8bb41ad7f5d62233888e6f57229cac9cb1e8","492.431136322027","No"
"0xaf00409bbb9a0c1e1f32847881d4da92e165bd3f","491.943904597272","No"
"0xfaa1eb1865f0e235d5dc7b56139e794a3276311e","468.889186684567","No"
"0xd8c8f8e07f779c34aec474ba1a04e20e792b5c5f","455.317740766638","No"
"0x3c02c04379c4bded09d563a49ae3d8998d417e84","386.888313359997","No"
"0x56b0dac37a3196a9d75604f081eb77c32688a740","382.891669951189","No"
