"HolderAddress","Balance","PendingBalanceUpdate"
"0x9695b9605abda2ac9ccab701d02332aedaac6721","99.5","No"
"0x98891e5fd24ef33a488a47101f65d212ff6e650e","4","No"
"0x7628981ddcc67e8a647682b4bcbedfb8e9635648","0.34699999","No"
"0xd6ffbe00cb6e1e4bc61d6941d7b81a8171e73152","0.29","No"
"0xf615fb165c57f2259c44547345e3fcb75af1fa47","0.23200001","No"
"0x8bcf9d24d535026e7856e9e45416cdd833c094fc","0.09","No"
"0xb489b76e4c9dde2d0bc5be716503386fc86e919d","0.04","No"
"0xbdfc3267b5c837291d101a9b266ecce1ae241e73","0.001","No"
